basileia	βασίλεια	βασίλεια	queen	0
basileue	βασίλευε	βασιλεύω	to be king, to rule, reign as king	0
basanizo	βασανίζω	βασανίζω	to rub gold upon the touchstone	0
basilea	βασιλέα	βασιλεύς	chief, master	1
basileas	βασιλέας	βασιλεύς	chief, master	1
basileon	βασιλέων	βασιλεύς	chief, master	1
basileia	βασιλεία	βασιλεία	A kingdom, a dominion	0
basileus	βασιλεύς	βασιλεύς	chief, master	1
basileuo	βασιλεύω	βασιλεύω	to be king, to rule, reign as king	0
basilika	βασιλικά	βασιλικός	royal, kingly, regal	1
basileos	βασιλῆος	βασιλεύς	chief, master	1
baskas	βασκᾶς	βασκᾶς	kind of duck	0
bassara	βασσάρα	βασσάρα	fox (Vulpes vulpes)	0
bastazo	βαστάζω	βαστάζω	to lift, lift up, raise	0
bastage	βασταγή	βασταγή	transport	0
basunias	βασυνίας	βασυνίας	kind of cake made with flour and honey	0
batis	βατίς	βατίς	kind of flatfish, perhaps the skate or ray	0
batiake	βατιάκη	βατιάκη	kind of cup	0
batos	βατός	βατός	passable	0
baubon	βαυβών	βαυβών	dildo	0
baukale	βαυκάλη	βαυκάλη	cradle	0
baukos	βαυκός	βαυκός	affected, prudish	0
baphe	βαφή	βαφή	a dipping	0
bapheus	βαφεύς	βαφεύς	dyer	0
baphikos	βαφικός	βαφικός	fit for dyeing, tinctorial	0
bau	βαύ	βαύ	bark! woof!	0
baukalis	βαύκαλις	βαύκαλις	vessel for cooling wine or water	1
baibux	βαῖβυξ	βαῖβυξ	pelican (Pelecanus onocrotalus)	0
baimen	βαῖμεν	βαίνω	to go	0
baite	βαῖτε	βαίνω	to go	0
baunos	βαῦνος	βαῦνος	furnace, forge	0
bdallo	βδάλλω	βδάλλω	to milk (to extract milk from cows)	0
bdella	βδέλλα	βδέλλα	leech (a blood-sucking annelid of the subclass Hirudinea)	1
bdellion	βδέλλιον	βδέλλιον	bdellium, an aromatic gum obtained from Commiphora africana	0
bdelugma	βδέλυγμα	βδέλυγμα	horror, abomination (horrific thing or act)	0
bdesma	βδέσμα	βδέσμα	stench	0
bdeo	βδέω	βδέω	to break wind, fart	0
bdeluros	βδελυρός	βδελυρός	disgusting, loathsome, repulsive, repugnant	1
bebekei	βεβήκει	βαίνω	to go	0
bebaiain	βεβαίαιν	βέβαιος	firm, steady	0
bebaiais	βεβαίαις	βέβαιος	firm, steady	0
bebaian	βεβαίαν	βέβαιος	firm, steady	0
bebaias	βεβαίας	βέβαιος	firm, steady	0
bebaioin	βεβαίοιν	βέβαιος	firm, steady	0
bebaiois	βεβαίοις	βέβαιος	firm, steady	0
bebaiou	βεβαίου	βέβαιος	firm, steady	0
bebaious	βεβαίους	βέβαιος	firm, steady	0
bebaio	βεβαίω	βέβαιος	firm, steady	0
bebaios	βεβαίως	βεβαίως	constantly, without interruption	0
bebaioo	βεβαιόω	βεβαιόω	to confirm, assure, secure	0
bebaioso	βεβαιώσω	βεβαιόω	to confirm, assure, secure	0
bebekos	βεβηκώς	βαίνω	to go	0
beblekei	βεβλήκει	βάλλω	to throw, cast, hurl	0
bebros	βεβρός	βεβρός	stupid, idiotic, moronic	0
beleessi	βελέεσσι	βέλος	missile, arrow, dart	0
beleon	βελέων	βέλος	missile, arrow, dart	0
beloin	βελοῖν	βέλος	missile, arrow, dart	0
beltion	βελτίων	ἀγαθός	good	0
beltioo	βελτιόω	βελτιόω	to improve	0
belone	βελόνη	βελόνη	needle	0
belon	βελῶν	βέλος	missile, arrow, dart	0
belos	βηλός	βηλός	threshold, the bottom-most part of a doorway	0
biazetai	βιάζηται	βιάζομαι	to use force	0
biazomai	βιάζομαι	βιάζομαι	to use force	0
biasteos	βιαστέος	βιαστέος	that must overpower or be overpowered	0
biastes	βιαστής	βιαστής	violent person	0
bibazo	βιβάζω	βιβάζω	to cause to mount	0
biblia	βιβλία	βιβλίον	strip of papyrus	1
biblion	βιβλίον	βιβλίον	strip of papyrus	1
bibliou	βιβλίου	βιβλίον	strip of papyrus	1
bibrosko	βιβρώσκω	βιβρώσκω	to eat, eat up	0
bizakion	βιζάκιον	βιζάκιον	small stone, pebble	0
bineo	βινέω	βινέω	to fuck (someone) (to have sex with (someone))	0
binetiao	βινητιάω	βινητιάω	to want to fuck	0
bioteuo	βιοτεύω	βιοτεύω	to live	0
biotikos	βιωτικός	βιωτικός	of or pertaining to life	1
bios	βιός	βιός	bow	0
bioo	βιόω	βιόω	to live	0
blabe	βλάβη	βλάβη	hurt, harm, damage, mischief	0
blamma	βλάμμα	βλάμμα	harm, damage	0
blax	βλάξ	βλάξ	slack	0
blapto	βλάπτω	βλάπτω	to disable	0
blastema	βλάστημα	βλάστημα	sprout, shoot	1
blenna	βλέννα	βλέννα	mucus	0
blepe	βλέπε	βλέπω	to look at	0
blepei	βλέπει	βλέπω	to look at	0
blepomen	βλέπομεν	βλέπω	to look at	0
blepo	βλέπω	βλέπω	to look at	0
blemenos	βλήμενος	βάλλω	to throw, cast, hurl	0
blekhon	βλήχων	βλήχων	pennyroyal	0
blisso	βλίσσω	βλίσσω	to cut off combs of honey, take honey, squeeze honey	0
bliton	βλίτον	βλίτον	purple amaranth (Amaranthus blitum)	1
blaberos	βλαβερός	βλαβερός	harmful, pernicious	0
bladus	βλαδύς	βλαδύς	weak	0
blaisos	βλαισός	βλαισός	splay-footed, having abnormally flat feet	0
blastano	βλαστάνω	βλαστάνω	to sprout, bud, begin to grow	0
blastos	βλαστός	βλαστός	sprout, shoot, bud	1
blaute	βλαύτη	βλαύτη	kind of sandal or elegant slipper	0
blennos	βλεννός	βλεννός	driveling, foolish, stupid	0
blestas	βληστάς	βληστάς	terrestrial scorpion	0
blekha	βληχά	βληχή	bleat	0
blekhas	βληχάς	βληχάς	bleater (one who bleats)	0
blekhaon	βληχάων	βληχή	bleat	0
blekheon	βληχέων	βληχή	bleat	0
blekhe	βληχή	βληχή	bleat	0
blekhen	βληχήν	βληχή	bleat	0
blekhai	βληχαί	βληχή	bleat	0
blekhain	βληχαῖν	βληχή	bleat	0
blekhais	βληχαῖς	βληχή	bleat	0
blekhes	βληχῆς	βληχή	bleat	0
blekhesi	βληχῇσι	βληχή	bleat	0
blekhon	βληχῶν	βληχή	bleat	0
blosuros	βλοσυρός	βλοσυρός	hairy, shaggy, bristling	0
blothros	βλωθρός	βλωθρός	high, tall, elongated	0
blomos	βλωμός	βλωμός	morsel of bread	0
blokhon	βλόχον	βλόχον	bdellium	0
bluzo	βλύζω	βλύζω	to bubble or gush forth	0
blusis	βλύσις	βλύσις	bubbling	0
bluo	βλύω	βλύζω	to bubble or gush forth	0
blosko	βλώσκω	βλώσκω	come, go	0
blema	βλῆμα	βλῆμα	a throw, cast of dice	0
bletron	βλῆτρον	βλῆτρον	fastening	0
blekhnon	βλῆχνον	βλῆχνον	male fern, aspidium, any fern of the species Dryopteris fili	0
boi	βοΐ	βοῦς	cow, ox, cattle	0
boa	βοά	βοή	shout	0
boas	βοάς	βοή	shout	0
boao	βοάω	βοάω	to shout	0
boaon	βοάων	βοάω	to shout	0
boe	βοή	βοή	shout	0
boethei	βοήθει	βοηθέω	to help somebody, aid, assist	0
boetheia	βοήθεια	βοήθεια	aid, help, assistance	0
boen	βοήν	βοή	shout	0
boesas	βοήσας	βοάω	to shout	0
boai	βοαί	βοή	shout	0
boain	βοαῖν	βοή	shout	0
boais	βοαῖς	βοή	shout	0
boeias	βοείας	βόειος	bovine (pertaining to cows and oxen)	0
boeie	βοείη	βοείη	oxhide, cowhide	0
boeien	βοείην	βόειος	bovine (pertaining to cows and oxen)	0
boetheo	βοηθέω	βοηθέω	to help somebody, aid, assist	0
boetheso	βοηθήσω	βοηθέω	to help somebody, aid, assist	0
boethein	βοηθεῖν	βοηθέω	to help somebody, aid, assist	0
boethoi	βοηθοί	βοηθός	assisting, auxiliary	0
boethous	βοηθούς	βοηθός	assisting, auxiliary	0
boethoos	βοηθόος	βοηθόος	heeding the call to arms, rushing to battle	0
boethos	βοηθός	βοηθός	assisting, auxiliary	0
boetho	βοηθῶ	βοηθέω	to help somebody, aid, assist	0
boethon	βοηθῶν	βοηθέω	to help somebody, aid, assist	0
bothrion	βοθρίον	βοθρίον	small trench to set plants in	0
boios	βοιός	βοῦς	cow, ox, cattle	0
bole	βολή	βολή	stroke or wound of a missile	0
bolida	βολίδα	βολίς	javelin, dart	0
bolidas	βολίδας	βολίς	javelin, dart	0
bolides	βολίδες	βολίς	javelin, dart	0
bolidon	βολίδων	βολίς	javelin, dart	0
bolize	βολίζη	βολίζη	female slave in Crete	0
bolis	βολίς	βολίς	javelin, dart	0
bolbos	βολβός	βολβός	bulb of various plants, especially onion	0
bombax	βομβάξ	βομβάξ	buzz!	0
booeides	βοοειδής	βοοειδής	of a cow, cow-shaped	0
booin	βοοῖν	βοῦς	cow, ox, cattle	0
booiin	βοοῖϊν	βοῦς	cow, ox, cattle	0
bora	βορά	βορά	food, meat, properly of carnivorous beasts	0
boreiou	βορείου	βόρειος	northern (from the quarter of the north wind)	0
boreio	βορείω	βόρειος	northern (from the quarter of the north wind)	0
bosi	βοσί	βοῦς	cow, ox, cattle	0
bosin	βοσίν	βοῦς	cow, ox, cattle	0
botane	βοτάνη	βοτάνη	grass, fodder, pasture	0
boter	βοτήρ	βοτήρ	herdsman	0
boteresi	βοτήρεσι	βοτήρ	herdsman	0
boteroin	βοτήροιν	βοτήρ	herdsman	0
boteron	βοτήρων	βοτήρ	herdsman	0
botera	βοτῆρα	βοτήρ	herdsman	0
boteras	βοτῆρας	βοτήρ	herdsman	0
botere	βοτῆρε	βοτήρ	herdsman	0
boteres	βοτῆρες	βοτήρ	herdsman	0
boteri	βοτῆρι	βοτήρ	herdsman	0
boteros	βοτῆρος	βοτήρ	herdsman	0
botersi	βοτῆρσι	βοτήρ	herdsman	0
botersin	βοτῆρσιν	βοτήρ	herdsman	0
boubon	βουβών	βουβών	groin, abdomen	0
boubonos	βουβῶνος	βουβών	groin, abdomen	0
boudoros	βουδόρος	βουδόρος	flaying oxen	0
boukole	βουκόλε	βουκόλος	A person who tends cattle	1
boukoloi	βουκόλοι	βουκόλος	A person who tends cattle	1
boukolon	βουκόλον	βουκόλος	A person who tends cattle	1
boukolos	βουκόλος	βουκόλος	A person who tends cattle	1
boukolou	βουκόλου	βουκόλος	A person who tends cattle	1
boukolo	βουκόλω	βουκόλος	A person who tends cattle	1
boula	βουλά	βουλή	will	0
boulas	βουλάς	βουλή	will	0
bouleon	βουλέων	βουλή	will	0
boule	βουλή	βουλή	will	0
boulen	βουλήν	βουλή	will	0
boulesei	βουλήσει	βούλησις	will, intention, purpose	0
boulese	βουλήσῃ	βούλομαι	to will, wish, be willing, want [with accusative ‘something’	0
boulai	βουλαί	βουλή	will	0
boulain	βουλαῖν	βουλή	will	0
boulais	βουλαῖς	βουλή	will	0
bouleuta	βουλευτά	βουλευτής	councillor, senator, bouleutes	0
bouleuo	βουλεύω	βουλεύω	to take counsel, deliberate, concert measures	0
boulethe	βουληθῇ	βούλομαι	to will, wish, be willing, want [with accusative ‘something’	0
bouletho	βουληθῶ	βούλομαι	to will, wish, be willing, want [with accusative ‘something’	0
boulimia	βουλιμία	βουλιμία	ravenous hunger (considered as a medical condition)	0
boules	βουλῆς	βουλή	will	0
boulesi	βουλῇσι	βουλή	will	0
boulesin	βουλῇσιν	βουλή	will	0
boulon	βουλῶν	βουλή	will	0
boumelia	βουμελία	βουμελία	common ash (Fraxinus excelsior)	0
bounias	βουνιάς	βουνιάς	rapeseed, Brassica napus	0
bounos	βουνός	βουνός	hill, heap	0
bouporos	βουπόρος	βουπόρος	ox-piercing	0
bourdon	βουρδών	βουρδών	mule	0
bousi	βουσί	βοῦς	cow, ox, cattle	0
bousin	βουσίν	βοῦς	cow, ox, cattle	0
bousos	βουσός	βουσός	pasture or path for oxen	0
boutos	βουτός	βουτός	kind of funerary urn or sarcophagus	0
boos	βοός	βοῦς	cow, ox, cattle	0
boubalos	βούβαλος	βούβαλος	an antelope, possibly a bubal hartebeest (Alcelaphus buselap	0
boukeras	βούκερας	βούκερας	fenugreek (Trigonella foenum-graecum)	0
boulei	βούλει	βούλομαι	to will, wish, be willing, want [with accusative ‘something’	0
bouletai	βούλεται	βούλομαι	to will, wish, be willing, want [with accusative ‘something’	0
bouleto	βούλετο	βούλομαι	to will, wish, be willing, want [with accusative ‘something’	0
boulesis	βούλησις	βούλησις	will, intention, purpose	0
boulimos	βούλιμος	βούλιμος	ravenous hunger	0
boulla	βούλλα	βούλλα	tin	0
bouloio	βούλοιο	βούλομαι	to will, wish, be willing, want [with accusative ‘something’	0
bouloito	βούλοιτο	βούλομαι	to will, wish, be willing, want [with accusative ‘something’	0
boulomai	βούλομαι	βούλομαι	to will, wish, be willing, want [with accusative ‘something’	0
boulou	βούλου	βούλομαι	to will, wish, be willing, want [with accusative ‘something’	0
boule	βούλῃ	βούλομαι	to will, wish, be willing, want [with accusative ‘something’	0
bounion	βούνιον	βούνιον	earthnut, Bunium ferulaceum	0
boupais	βούπαις	βούπαις	big boy	0
bousukon	βούσυκον	βούσυκον	kind of large, coarse fig	0
boutomon	βούτομον	βούτομον	kind of sedge (Carex riparia)	0
bouttion	βούττιον	βοῦττις	cask, barrel, a round vessel shaped having flat ends	0
bouturon	βούτυρον	βούτυρον	butter	0
bouturos	βούτυρος	βούτυρον	butter	0
boes	βοῆς	βοή	shout	0
bou	βοῦ	βοῦς	cow, ox, cattle	0
boua	βοῦα	βοῦα	a band of boys grouped together for training	0
boun	βοῦν	βοῦς	cow, ox, cattle	0
bous	βοῦς	βοῦς	cow, ox, cattle	0
bouston	βοῦστον	βοῦστον	place for burning funeral pyres	0
bouttis	βοῦττις	βοῦττις	cask, barrel, a round vessel shaped having flat ends	0
bouphos	βοῦφος	βοῦφος	eagle owl (Bubo bubo)	0
boon	βοῶν	βοῦς	cow, ox, cattle	0
boopis	βοῶπις	βοῶπις	doe-eyed (having large, attractive eyes)	0
bra	βρά	βρά	brother(s)	0
brabulon	βράβυλον	βράβυλον	sloe, blackthorn, a tree of the species Prunus spinosa and i	0
bragkhia	βράγχια	βράγχιον	fin	1
bragkhos	βράγχος	βράγχος	hoarseness or sore throat causing it	0
brathu	βράθυ	βράθυ	savin (Juniperus sabina)	0
brakos	βράκος	ῥάκος	rag, tattered garment	0
brasma	βράσμα	βράσμα	boiling	0
brasso	βράσσω	βράσσω	to shake violently, throw up	0
brakhea	βράχεα	βράχεα	shallows	0
bregma	βρέγμα	βρέγμα	the bone directly above the brain, (anatomy) bregma	1
bremein	βρέμειν	βρέμω	to roar	0
bremo	βρέμω	βρέμω	to roar	0
brendos	βρένδος	βρένδος	deer	0
brenthos	βρένθος	βρένθος	arrogance, haughtiness	0
brention	βρέντιον	βρέντιον	stag's head	0
brephos	βρέφος	βρέφος	baby, infant	0
brekho	βρέχω	βρέχω	to wet, to drench	0
bria	βρία	βρία	The Thracian word for city	0
briza	βρίζα	βρίζα	rye (Secale cereale) in Thrace and Macedonia	0
brime	βρίμη	βρίμη	strength, might, power	0
brabule	βραβύλη	βραβύλη	broad-leaved anemone, a flowering plant of the species Anemo	0
bradeos	βραδέως	βραδέως	slowly	0
bradutes	βραδυτής	βραδυτής	slowness	0
braduno	βραδύνω	βραδύνω	to make slow, delay	0
bradus	βραδύς	βραδύς	slow	0
brakhion	βραχίων	βραχίων	upper arm	0
brakheia	βραχεία	βραχύς	short, brief	0
brakhuno	βραχύνω	βραχύνω	to abridge	0
brakhus	βραχύς	βραχύς	short, brief	0
brithus	βριθύς	βριθύς	heavy, ponderous, weighty	0
bronte	βροντή	βροντή	thunder	0
bronten	βροντήν	βροντή	thunder	0
brontes	βροντῆς	βροντή	thunder	0
brote	βροτέ	βροτός	mortal man, human being (often in plural)	0
brotoi	βροτοί	βροτός	mortal man, human being (often in plural)	0
brotous	βροτούς	βροτός	mortal man, human being (often in plural)	0
brotoin	βροτοῖν	βροτός	mortal man, human being (often in plural)	0
brotois	βροτοῖς	βροτός	mortal man, human being (often in plural)	0
brotoisi	βροτοῖσι	βροτός	mortal man, human being (often in plural)	0
brotou	βροτοῦ	βροτός	mortal man, human being (often in plural)	0
brotoeis	βροτόεις	βροτόεις	gory	0
broton	βροτόν	βροτός	mortal man, human being (often in plural)	0
brotos	βροτός	βροτός	mortal man, human being (often in plural)	0
broto	βροτώ	βροτός	mortal man, human being (often in plural)	0
brokhe	βροχή	βροχή	rain	0
broutza	βρούτζα	βρούτζα	brush	0
broukos	βροῦκος	βροῦκος	locust, or its wingless nymph	0
broulon	βροῦλον	βροῦλον	rush, reed used for mats or beds	0
bruazo	βρυάζω	βρυάζω	to swell, teem	0
bruonia	βρυωνία	βρυωνία	bryony	0
bromaton	βρωμάτων	βρῶμα	a shipworm (Teredo navalis) that bores into wooden piers, sh	1
brotikos	βρωτικός	βρωτικός	inclined to eat, voracious	0
brogkhia	βρόγχια	βρόγχια	bronchial tubes	0
brogkhos	βρόγχος	βρόγχος	trachea	1
bromos	βρόμος	βρόμος	oat (Avena sativa)	0
broton	βρότον	βρότος	blood that has run from a wound, gore	0
